,date,nyc_ww_smooth_raw,nyc_hosp_smooth_raw,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
78,2022-07-15,9903619.047619056,2681.3333333333335,9853142.85714287,8979047.619047629,8408928.57142857,2464.833333333334,2272.6666666666642,2198.4999999999995,80.4,3.7,4.4,4.8,0,1
79,2022-07-22,9895047.619047612,2880.5,9903619.047619056,9853142.85714287,8979047.619047629,2681.3333333333335,2464.833333333334,2272.6666666666642,80.5,3.8,4.7,5.1,0,1
80,2022-07-29,8894404.761904778,2966.6666666666665,9895047.619047612,9903619.047619056,9853142.85714287,2880.5,2681.3333333333335,2464.833333333334,80.6,3.8,4.8,5.3,0,1
81,2022-08-05,8517261.9047619,2954.5000000000014,8894404.761904778,9895047.619047612,9903619.047619056,2966.6666666666665,2880.5,2681.3333333333335,80.7,3.7,4.9,5.5,0,1
82,2022-08-12,7859642.857142839,2866.000000000001,8517261.9047619,8894404.761904778,9895047.619047612,2954.5000000000014,2966.6666666666665,2880.5,80.8,3.6,4.9,5.6,0,1
83,2022-08-19,7650000.000000013,2777.1666666666674,7859642.857142839,8517261.9047619,8894404.761904778,2866.000000000001,2954.5000000000014,2966.6666666666665,80.8,3.5,4.9,5.7,0,1
84,2022-08-26,6798928.571428579,2696.833333333334,7650000.000000013,7859642.857142839,8517261.9047619,2777.1666666666674,2866.000000000001,2954.5000000000014,80.9,3.4,4.7,5.7,0,1
85,2022-09-02,6068452.380952376,2588.8333333333344,6798928.571428579,7650000.000000013,7859642.857142839,2696.833333333334,2777.1666666666674,2866.000000000001,80.9,3.3,4.5,5.6,0,1
86,2022-09-09,5495119.047619041,2508.8333333333326,6068452.380952376,6798928.571428579,7650000.000000013,2588.8333333333344,2696.833333333334,2777.1666666666674,81.0,3.2,4.3,5.6,0,1
87,2022-09-16,4557380.952380954,2451.500000000001,5495119.047619041,6068452.380952376,6798928.571428579,2508.8333333333326,2588.8333333333344,2696.833333333334,81.1,3.1,4.2,5.5,0,1
88,2022-09-23,4436488.09523809,2475.0000000000005,4557380.952380954,5495119.047619041,6068452.380952376,2451.500000000001,2508.8333333333326,2588.8333333333344,81.3,3.0,4.1,5.3,0,1
89,2022-09-30,5074226.190476187,2540.8333333333344,4436488.09523809,4557380.952380954,5495119.047619041,2475.0000000000005,2451.500000000001,2508.8333333333326,81.5,2.7,4.0,5.2,0,1
90,2022-10-07,5899702.380952385,2674.5,5074226.190476187,4436488.09523809,4557380.952380954,2540.8333333333344,2475.0000000000005,2451.500000000001,81.7,2.5,3.9,5.0,0,1
91,2022-10-14,6619404.761904761,2868.8333333333335,5899702.380952385,5074226.190476187,4436488.09523809,2674.5,2540.8333333333344,2475.0000000000005,81.9,2.4,3.8,4.9,0,1
92,2022-10-21,6085714.285714288,3028.3333333333353,6619404.761904761,5899702.380952385,5074226.190476187,2868.8333333333335,2674.5,2540.8333333333344,82.1,2.2,3.7,4.7,0,1
93,2022-10-28,6093690.476190479,3113.333333333334,6085714.285714288,6619404.761904761,5899702.380952385,3028.3333333333353,2868.8333333333335,2674.5,82.3,2.1,3.4,4.7,0,1
