,date,sf_ww_smooth_raw,sf_hosp_smooth_raw,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
83,2022-07-22,23735718.7966762,133.33333333333337,23261145.610723775,21497566.16114765,19166132.54419524,126.66666666666664,122.33333333333334,113.66666666666664,84.4,4.5,5.3,5.6,0,1
84,2022-07-29,22117610.173533358,133.99999999999997,23735718.7966762,23261145.610723775,21497566.16114765,133.33333333333337,126.66666666666664,122.33333333333334,84.6,4.4,5.4,5.8,0,1
85,2022-08-05,19127652.791290473,129.8333333333334,22117610.173533358,23735718.7966762,23261145.610723775,133.99999999999997,133.33333333333337,126.66666666666664,84.7,4.1,5.4,5.9,0,1
86,2022-08-12,16095970.818109497,124.16666666666664,19127652.791290473,22117610.173533358,23735718.7966762,129.8333333333334,133.99999999999997,133.33333333333337,84.9,3.9,5.3,6.0,0,1
87,2022-08-19,13876370.772223793,114.8333333333333,16095970.818109497,19127652.791290473,22117610.173533358,124.16666666666664,129.8333333333334,133.99999999999997,85.0,3.6,5.2,6.0,0,1
88,2022-08-26,12645915.954647614,99.66666666666669,13876370.772223793,16095970.818109497,19127652.791290473,114.8333333333333,124.16666666666664,129.8333333333334,85.1,3.3,5.0,6.0,0,1
89,2022-09-02,11625469.026728591,83.66666666666669,12645915.954647614,13876370.772223793,16095970.818109497,99.66666666666669,114.8333333333333,124.16666666666664,85.2,3.0,4.6,5.9,0,1
90,2022-09-09,10821373.552095247,76.0,11625469.026728591,12645915.954647614,13876370.772223793,83.66666666666669,99.66666666666669,114.8333333333333,85.3,2.6,4.2,5.7,0,1
91,2022-09-16,9472904.573176183,71.33333333333336,10821373.552095247,11625469.026728591,12645915.954647614,76.0,83.66666666666669,99.66666666666669,85.4,2.2,3.8,5.4,0,1
92,2022-09-23,8072191.271516657,64.99999999999999,9472904.573176183,10821373.552095247,11625469.026728591,71.33333333333336,76.0,83.66666666666669,85.6,2.0,3.6,5.3,0,1
93,2022-09-30,7422380.801154763,57.999999999999986,8072191.271516657,9472904.573176183,10821373.552095247,64.99999999999999,71.33333333333336,76.0,85.8,1.7,3.3,4.9,0,1
94,2022-10-07,7168668.275681433,57.33333333333335,7422380.801154763,8072191.271516657,9472904.573176183,57.999999999999986,64.99999999999999,71.33333333333336,85.9,1.5,2.9,4.5,0,1
95,2022-10-14,7338253.041550475,59.000000000000014,7168668.275681433,7422380.801154763,8072191.271516657,57.33333333333335,57.999999999999986,64.99999999999999,86.0,1.3,2.6,4.2,0,1
96,2022-10-21,6836655.934002862,58.66666666666668,7338253.041550475,7168668.275681433,7422380.801154763,59.000000000000014,57.33333333333335,57.999999999999986,86.3,1.1,2.3,3.8,0,1
97,2022-10-28,6609744.167642853,59.999999999999986,6836655.934002862,7338253.041550475,7168668.275681433,58.66666666666668,59.000000000000014,57.33333333333335,86.3,1.0,2.0,3.5,0,1
