,date,den_metro_ww_smooth,den_hospitalizations,WW_lag1,WW_lag2,WW_lag3,Hosp_lag1,Hosp_lag2,Hosp_lag3,percent_complete_series,past_12_weeks_infections,past_16_weeks_infections,past_20_weeks_infections,delta_majority,omicron_majority
78,2022-02-13,278608.45,174.42857142857144,480476.65,744290.95,1035399.0,240.85714285714286,306.3571428571429,384.4285714285714,76.8,3.0,3.4,3.6,0,1
79,2022-02-20,146916.97499999998,145.71428571428572,278608.45,480476.65,744290.95,174.42857142857144,240.85714285714286,306.3571428571429,76.9,3.0,3.5,3.7,0,1
80,2022-02-27,77324.48333333332,108.2857142857143,146916.97499999998,278608.45,480476.65,145.71428571428572,174.42857142857144,240.85714285714286,77.0,2.9,3.6,3.8,0,1
81,2022-03-06,66017.34999999999,76.42857142857143,77324.48333333332,146916.97499999998,278608.45,108.2857142857143,145.71428571428572,174.42857142857144,77.1,2.8,3.6,3.9,0,1
82,2022-03-13,54710.21666666666,57.857142857142854,66017.34999999999,77324.48333333332,146916.97499999998,76.42857142857143,108.2857142857143,145.71428571428572,77.2,2.6,3.5,3.9,0,1
83,2022-03-20,35364.325,48.85714285714286,54710.21666666666,66017.34999999999,77324.48333333332,57.857142857142854,76.42857142857143,108.2857142857143,77.3,2.3,3.4,4.0,0,1
84,2022-03-27,25986.6,27.714285714285715,35364.325,54710.21666666666,66017.34999999999,48.85714285714286,57.857142857142854,76.42857142857143,77.4,2.1,3.3,4.0,0,1
85,2022-04-03,47449.025,30.714285714285715,25986.6,35364.325,54710.21666666666,27.714285714285715,48.85714285714286,57.857142857142854,77.5,1.9,3.1,3.9,0,1
86,2022-04-10,55192.625,23.571428571428573,47449.025,25986.6,35364.325,30.714285714285715,27.714285714285715,48.85714285714286,77.6,1.8,2.9,3.9,0,1
87,2022-04-17,52960.65,34.0,55192.625,47449.025,25986.6,23.571428571428573,30.714285714285715,27.714285714285715,77.7,1.6,2.7,3.8,0,1
88,2022-04-24,56564.075,32.57142857142857,52960.65,55192.625,47449.025,34.0,23.571428571428573,30.714285714285715,77.9,1.4,2.4,3.6,0,1
89,2022-05-01,90792.52500000001,42.42857142857142,56564.075,52960.65,55192.625,32.57142857142857,34.0,23.571428571428573,78.1,1.3,2.3,3.4,0,1
90,2022-05-08,140627.425,42.0,90792.52500000001,56564.075,52960.65,42.42857142857142,32.57142857142857,34.0,78.2,1.2,2.1,3.2,0,1
91,2022-05-15,191100.8,45.99999999999999,140627.425,90792.52500000001,56564.075,42.0,42.42857142857142,32.57142857142857,78.4,1.1,1.9,3.0,0,1
92,2022-05-22,299369.92500000005,52.142857142857146,191100.8,140627.425,90792.52500000001,45.99999999999999,42.0,42.42857142857142,78.5,1.0,1.7,2.7,0,1
93,2022-05-29,266755.4,57.714285714285715,299369.92500000005,191100.8,140627.425,52.142857142857146,45.99999999999999,42.0,78.7,1.0,1.6,2.6,0,1
94,2022-06-05,215860.65000000002,80.71428571428571,266755.4,299369.92500000005,191100.8,57.714285714285715,52.142857142857146,45.99999999999999,,,,,0,1
95,2022-06-12,304375.9,73.85714285714286,215860.65000000002,266755.4,299369.92500000005,80.71428571428571,57.714285714285715,52.142857142857146,,,,,0,1
96,2022-06-19,334607.0,82.85714285714288,304375.9,215860.65000000002,266755.4,73.85714285714286,80.71428571428571,57.714285714285715,,,,,0,1
97,2022-06-26,312765.97500000003,78.0,334607.0,304375.9,215860.65000000002,82.85714285714288,73.85714285714286,80.71428571428571,,,,,0,1
98,2022-07-03,345704.47500000003,90.28571428571429,312765.97500000003,334607.0,304375.9,78.0,82.85714285714288,73.85714285714286,,,,,0,1
99,2022-07-10,399905.60000000003,80.28571428571429,345704.47500000003,312765.97500000003,334607.0,90.28571428571429,78.0,82.85714285714288,,,,,0,1
100,2022-07-17,456123.80000000005,81.57142857142857,399905.60000000003,345704.47500000003,312765.97500000003,80.28571428571429,90.28571428571429,78.0,,,,,0,1
101,2022-07-24,408484.525,86.28571428571428,456123.80000000005,399905.60000000003,345704.47500000003,81.57142857142857,80.28571428571429,90.28571428571429,,,,,0,1
102,2022-07-31,323130.82500000007,64.14285714285714,408484.525,456123.80000000005,399905.60000000003,86.28571428571428,81.57142857142857,80.28571428571429,,,,,0,1
103,2022-08-07,304714.42500000005,70.42857142857143,323130.82500000007,408484.525,456123.80000000005,64.14285714285714,86.28571428571428,81.57142857142857,,,,,0,1
104,2022-08-14,234948.72500000003,55.00000000000001,304714.42500000005,323130.82500000007,408484.525,70.42857142857143,64.14285714285714,86.28571428571428,,,,,0,1
105,2022-08-21,180898.35000000003,53.57142857142857,234948.72500000003,304714.42500000005,323130.82500000007,55.00000000000001,70.42857142857143,64.14285714285714,,,,,0,1
106,2022-08-28,138069.42500000005,57.0,180898.35000000003,234948.72500000003,304714.42500000005,53.57142857142857,55.00000000000001,70.42857142857143,,,,,0,1
107,2022-09-04,129693.15000000002,47.00000000000001,138069.42500000005,180898.35000000003,234948.72500000003,57.0,53.57142857142857,55.00000000000001,,,,,0,1
108,2022-09-11,165146.87500000003,41.0,129693.15000000002,138069.42500000005,180898.35000000003,47.00000000000001,57.0,53.57142857142857,,,,,0,1
109,2022-09-18,166266.65000000002,43.0,165146.87500000003,129693.15000000002,138069.42500000005,41.0,47.00000000000001,57.0,,,,,0,1
110,2022-09-25,136361.95000000004,42.857142857142854,166266.65000000002,165146.87500000003,129693.15000000002,43.0,41.0,47.00000000000001,,,,,0,1
111,2022-10-02,123796.41250000003,53.0,136361.95000000004,166266.65000000002,165146.87500000003,42.857142857142854,43.0,41.0,,,,,0,1
112,2022-10-09,128607.63750000003,56.85714285714286,123796.41250000003,136361.95000000004,166266.65000000002,53.0,42.857142857142854,43.0,,,,,0,1
113,2022-10-16,145479.85000000003,52.42857142857143,128607.63750000003,123796.41250000003,136361.95000000004,56.85714285714286,53.0,42.857142857142854,,,,,0,1
